364/30,6666666667/35,2857142857/45,5/45,5/17062,2857143/16764,4285714/17062,2857143/16764,4285714
365/30,4/35,1666666667/42,2/42,2/13484,4285714/14088,7142857/13484,4285714/14088,7142857
366/31,4/32,8333333333/42,1/42,1/15958,4285714/15553,4285714/15958,4285714/15553,4285714
367/30,8/30,8333333333/42,0/42,0/14692,0/14335,0/14692,0/14335,0
368/36,0/37,3333333333/48,2/48,2/16705,1428571/16492,5714286/16705,1428571/16492,5714286
369/32,6/30,2/40,9/40,9/18890,8571429/18482,1428571/18890,8571429/18482,1428571
370/29,8/29,6/39,8/39,8/15440,1428571/15252,1428571/15440,1428571/15252,1428571
371/30,4/30,0/42,6/42,6/17019,5714286/16805,2857143/17019,5714286/16805,2857143
372/35,2/38,8/40,1/40,1/17574,1428571/17370,0/17574,1428571/17370,0
373/29,6666666667/34,8/37,5/37,5/18470,1428571/17893,0/18470,1428571/17893,0
374/27,3333333333/34,6/38,0/38,0/15478,8571429/15546,0/15478,8571429/15546,0
375/27,6666666667/39,0/34,9/34,9/15652,4285714/15417,0/15652,4285714/15417,0
376/28,3333333333/29,0/44,4/44,4/12596,4285714/16971,1428571/12596,4285714/16971,1428571
377/24,5/24,25/40,3/40,3/16608,4285714/16242,4285714/16608,4285714/16242,4285714
378/31,5/32,25/45,2/45,2/14675,4285714/14684,5714286/14675,4285714/14684,5714286
379/33,0/29,25/42,3/42,3/12762,1428571/12277,2857143/12762,1428571/12277,2857143
380/31,0/32,0/37,6666666667/37,6666666667/13313,8571429/13346,8571429/13313,8571429/13346,8571429
381/20,5/30,0/33,8888888889/33,8888888889/10752,375/12124,8571429/10752,375/12124,8571429
382/22,0/24,6666666667/37,1111111111/37,1111111111/10666,5/10533,0/10666,5/10533,0
383/27,0/24,3333333333/35,4444444444/35,4444444444/11821,375/11689,125/11821,375/11689,125
384/32/24,3333333333/35,1111111111/35,1111111111/11451,2222222/11971,1111111/11451,2222222/11971,1111111
385/41/23,0/36,7777777778/36,7777777778/8834,33333333/8637,33333333/8834,33333333/8637,33333333
386/40/24,6666666667/33,2222222222/33,2222222222/12836,0/12718,9/12836,0/12718,9
387/30/32,0/28,7777777778/28,7777777778/9853,7/9223,5/9853,7/9223,5
388/19/36,0/32,4444444444/32,4444444444/8789,8/8796,6/8789,8/8796,6
389/22/30,0/32,0/32,0/10049,9/9583,9/10049,9/9583,9
390/34/23,5/32,7777777778/32,7777777778/14080,1/10657,6/14080,1/10657,6
391/33/25,0/33,1111111111/33,1111111111/14021,9/13437,3/14021,9/13437,3
392/13083/24,5/35,5555555556/35,5555555556/17884,7/16853,7/17884,7/16853,7
